statenum,states,hashtag_text
5,"West Virginia,Pennsylvania,Arizona,Rhode Island,Ohio",MLKDay2016
5,"Oregon,Washington,Idaho,Arizona,Mississippi",Oregonstandoff
5,"Massachusetts,Rhode Island,Connecticut,Texas,North Carolina",oscars
5,"Wisconsin,Virginia,Wyoming,Kansas,Ohio",PanamaPapers
5,"Florida,South Carolina,Wisconsin,Massachusetts,California",Pulitzer100
5,"Texas,Michigan,Rhode Island,Colorado,Arizona",RNC
5,"Florida,Colorado,Virginia,Delaware,Wisconsin",Roe43
5,"Kentucky,Colorado,West Virginia,Alaska,Connecticut",SB1
5,"New Jersey,California,Oregon,Colorado,Pennsylvania",SB3
5,"Arizona,Colorado,Tennessee,Rhode Island,Idaho",schoolchoice
5,"Indiana,New Hampshire,Ohio,Michigan,Alaska",StPatricksDay
5,"North Carolina,Indiana,Wisconsin,Hawaii,West Virginia",Trump2016
5,"Nebraska,South Dakota,Florida,North Carolina,Wisconsin",WeAreDemocrats
5,"Michigan,Pennsylvania,Indiana,Rhode Island,Florida",WomensHistoryMonth
5,"Florida,Ohio,Texas,Arizona,Wisconsin",Zika
4,"Florida,Alabama,Virginia,Louisiana",ACAanniversary
4,"Colorado,Florida,Nebraska,California",ActOnClimate
4,"Tennessee,Colorado,Connecticut,Alabama",banthebox
4,"Rhode Island,Iowa,Maine,Idaho",Bernie
4,"Ohio,Pennsylvania,Arizona,Kentucky",budget
4,"New York,Florida,Nebraska,Arizona",Challenger
4,"Nebraska,Arizona,Florida,Michigan",CincoDeMayO
4,"West Virginia,Wyoming,Washington,Colorado",coal
4,"Wisconsin,Iowa,Texas,South Carolina",Cruz
4,"Michigan,Ohio,Virginia,Maine",Democrat
4,"New Jersey,Mississippi,Idaho,South Dakota",DonaldTrump
4,"New York,Rhode Island,South Carolina,Missouri",ethics
4,"Maine,Texas,Mississippi,Louisiana",fact
4,"New Hampshire,Colorado,North Carolina,Arizona",FactCheck
4,"Minnesota,South Dakota,Rhode Island,Michigan",fail
4,"Michigan,Virginia,Wyoming,Vermont",FOIA
4,"Colorado,New Hampshire,Indiana,Missouri",gitmo
4,"Massachusetts,Pennsylvania,Florida,South Carolina",GoldenGlobes
4,"Tennessee,New York,Texas,Mississippi",GOP2016
4,"Nebraska,Michigan,Missouri,Virginia",GOTV
4,"West Virginia,New Jersey,Michigan,Pennsylvania",GroundhogDay
4,"Colorado,Arizona,Wyoming,Tennessee",gun
4,"Colorado,Florida,Michigan,Maryland",gunsense
4,"Florida,Virginia,Nebraska,Colorado",GunsInAmerica
