screen_name,state,URLs
MISenate,Michigan,"4668,http://www.michigan.gov/snyder/0,http://bit.ly/1Pn5cdN,https://twitter.com/MichStatePolice/status/690591273296752641,http://bit.ly/1Pkp80Y,http://bit.ly/1PHJilN,http://ow.ly/WOgYV,https://twitter.com/JohnMProos/status/684475846392987648,http://bit.ly/1OGNqN0,00.html,http://www.freep.com/story/money/business/michigan/2016/01/02/5-trends-watch-state-economy/78012668/,http://bit.ly/1OLop3l,7-277-74857_74858---,http://bit.ly/1PF14py,http://senate.michigan.gov,http://bit.ly/1OL9LZT,http://bit.ly/1mFI1ig,http://bit.ly/1KKf61E,http://bit.ly/1mYvN4G,http://fb.me/7TSeSAQTu,http://1.usa.gov/1OtGW3K,http://1.usa.gov/1njLeo4,http://bit.ly/1PE1DQC,http://bit.ly/1nm8IJi"
MissouriGOP,Missouri,"https://lincolndays.missouri.gop/event-registration/,https://www.youtube.com/watch?v=05rkc3tHbng,http://mogop.org,http://clk.gop/kX35uM,http://clk.gop/hTQjt9,http://clk.gop/jV2dcG,http://clk.gop/qKNdnF,http://clk.gop/cTMrBU,http://clk.gop/wJgMpb,http://clk.gop/2KWSyw,http://clk.gop/wHqAWJ,http://clk.gop/2ekojX,http://clk.gop/LSzgcj,http://clk.gop/hVQC5k,http://clk.gop/5yC8H3,http://clk.gop/sdu5Yd,http://clk.gop/sSRy8m,http://lincolndays.missouri.gop,http://missouri.gop/volunteer,https://twitter.com/housegop/status/683339854399160321,http://clk.gop/qUmLbj,http://clk.gop/pnJdR5,https://amp.twimg.com/v/9c2a41a0-1718-415b-8b0f-ca0a26c6cf01,https://www.missouri.gop/election-2016/,http://missouri.gop/volunteer/,http://clk.gop/C179Yb,http://clk.gop/aTwoAj,http://clk.gop/fYxtSo,http://clk.gop/QQXGcM,http://clk.gop/z4mqLv,https://twitter.com/farmsteadrealty/status/688433941943050240,http://clk.gop/fF8bFF,http://clk.gop/boqesw,http://clk.gop/BnesUk,http://clk.gop/9Rg4TX,http://clk.gop/y9u5QC,http://clk.gop/YRT7U5,http:"
mnsrc,Minnesota,"http://buff.ly/1l77vDq,https://www.periscope.tv/w/aXJpvjI2NTUzODJ8MUx5eEJWbXBBTG94Tp7QB4qpxhKDsdvDHKkBBpmGiyYIJrp1i0Udp552wbzr,https://twitter.com/StarTribune/status/684192705673445378,http://strib.mn/1UPGfpj,http://strib.mn/1nRlNdn,http://bit.ly/1JTNqac,http://buff.ly/1ZaFSXK,http://www.senate.leg.state.mn.us/jobs/employment_postings/view_job.php?id=170,https://twitter.com/pioneerpress/status/684608747029839873,https://youtu.be/8fG4mMIS3TI,https://twitter.com/MinnPost/status/689827261462265857,https://twitter.com/chrissnowbeck/status/689832494745554944,http://cnnmon.ie/1RA8cni,https://www.periscope.tv/w/aXJs3jI2NTUzODJ8MXJteFBsd2xwZUx4TpdClkiWSkkKxgYz-AqOUHjFVyPb5FHd92EfownXfuxc,https://www.youtube.com/watch?v=_Yz0whV45Es,http://bit.ly/1SJW8z7,http://bit.ly/1UzWLK9,http://bit.ly/1SdSnmJ"
MSGOP,Mississippi,"http://mdah.state.ms.us/new/news/hil-2016/,http://www.foxnews.com/politics/2016/01/19/inspector-general-clinton-emails-had-intel-from-most-secretive-classified-programs.html,https://594310.content.nlgrid.com/wf/webmail?rp=ZTI1bGQzTnNaWFIwWlhKZmFXUTZNVEl6TkN4MWMyVnlYMmxrT2pJMU5qVTBmUWV5SnVaWGR6YkdWMGRHVnlYMmxrSWpvaU1qRTVNakk0TkRraUxDSnVaWGR6YkdWMGRHVnlYM1Z6WlhKZmFXUWlPakV5TkRJd01URXdNalF5TlgwPQ%3D%3D,http://hill.cm/lcEgVf1,http://www.mpbonline.org/,http://www.mpbonline.org/blogs/news/2016/01/12/live-inauguration-of-gov-phil-bryant/,https://amp.twimg.com/v/ca8483f5-7673-400b-ac68-0a59d100ef45,https://twitter.com/hillaryclinton/status/690164705135083520,http://spencerritchie80.polldaddy.com/s/who-won-last-night-s-debate,http://www.msgop.org/2016-presidential-straw-poll/,http://cnn.it/1RhUqWB,https://594310.content.nlgrid.com/wf/webmail?rp=ZTI1bGQzTnNaWFIwWlhKZmFXUTZNVEl6TkN4MWMyVnlYMmxrT2pJMU5qVTBmUWV5SnVaWGR6YkdWMGRHVnlYMmxrSWpvaU1qRTRNemswT0RjaUxDSnVaWGR6YkdWMGRHVnlYM1Z6WlhKZmFXUWlPalUyT0RreE5EQXdORE0yZlE9PQ%3"
NancyBarto,AZ,"http://nancybarto.com/wordpress/?p=3428,https://twitter.com/tumbleweedyouth/status/686585936742842369,https://twitter.com/momiofaz/status/692474420540116992,https://twitter.com/katiepavlich/status/682299596576571392,https://twitter.com/ajbaghai/status/689594753319510016,https://twitter.com/mercymaricopa/status/685531602370207745,https://twitter.com/emilyjyu/status/688415541267070976,https://twitter.com/heathercarteraz/status/687127938551136256,https://twitter.com/buccerinancy/status/691971386391281669,https://twitter.com/callisto1947/status/681904427977076736,https://twitter.com/repmattsalmon/status/690273992255496192,https://twitter.com/azeconomicnews/status/689492717634584576,http://nancybarto.com/wordpress/?p=3417,https://twitter.com/kengreenberg/status/691975560055164928,https://twitter.com/arizotasocialme/status/689635597695123457"
NCGOP,"North Carolina","http://thehill.com/business-a-lobbying/lobbying-hires/265281-ex-sen-kay-hagan-joins-lobby-firm,http://www.charlotteobserver.com/news/politics-government/article53181805.html,http://sotu.gop.gov/,https://twitter.com/ross_purgason/status/687825393420775424,https://twitter.com/SenatorBerger/status/687283051718656001,http://www.washingtonexaminer.com/state-dumps-thousands-of-clinton-emails-at-1-a.m./article/2579929,https://www.instagram.com/p/BAaZuOaAQpj/,https://twitter.com/ross_purgason/status/692907871391072256,https://twitter.com/govofficeNC/status/687022958154498048,https://twitter.com/ross_purgason/status/692896539761516545,http://bit.ly/1PXIQwr,http://www.newsobserver.com/news/politics-government/state-politics/article56681118.html,http://www.rga.org/homepage/ghost-of-elections-past-returning-to-haunt-roy-coopers-campaign-for-north-carolina-governor/,https://twitter.com/RoyCooperNC/status/689507180706271232,http://lockerroom.johnlocke.org/2016/01/14/nea-union-affiliates-are-hurtin/,https://www.youtube.com/"
NDGOP,"North Dakota","http://www.ndgop.org/?p=6879,http://bit.ly/1ONnBQF"
NEGOP,NE,https://gop.com/clinton-stumbles-on-fresh-questions-regarding-emails/
NewMexicoGOP,"New Mexico","http://tinyurl.com/m5tyaya,http://nmpolitics.net/index/2016/01/gov-susana-martinezs-2016-state-of-the-state-address/,http://newmexico.gop/press-release/,http://www.foxbusiness.com/features/2016/01/11/where-can-watch-and-participate-in-gop-debate.html,https://newmexico.gop/1357-2/,http://www.youtube.com/watch?v=jC5PnEtx-E4"
NewYorkGOP,"New York","http://www.foxnews.com/politics/2016/01/21/flare-out-mega-solar-company-slashing-jobs-despite-govt-benefits.html?intcmp=hplnws,http://m.huffpost.com/us/entry/8913948,http://www.nygop.org,http://newyork.gop,http://m.timesunion.com/tuplus-local/article/Churchill-Reasons-to-worry-about-15-minimum-wage-6772873.php,https://twitter.com/fud31/status/686163791097282560"
NHGOP,"New Hampshire","https://www.youtube.com/watch?v=zDAmPIq29ro,http://www.wmur.com/politics/jeb-bush-confirms-appearance-at-nhgops-firstinnation-town-hall/37258572,http://maggiesmia.tumblr.com/,http://fitn.gop/fitn-presidential-town-hall/,http://www.fitn.gop,https://twitter.com/ToddCheewing/status/693883975471882245,https://twitter.com/carockow/status/692730392055562240,https://twitter.com/AmericaRising/status/689577083303919617,https://twitter.com/weeklystandard/status/687028021266628612,http://nhgop.org/news-press/clinton-campaigns-with-first-in-the-nation-foe,http://vtgop.org/first-in-the-nation-raffle/,https://twitter.com/SenScottBrown/status/684789454796681216,http://abcnews.go.com/Politics/wireStory/ig-emails-clintons-server-top-secret-36381492,http://nhgop.org/news-press/hassan-embarrassed-by-premature-gloating,http://nhgop.org/news-press/nh-tax-relief-takes-effect-despite-hassan-budget-veto,https://twitter.com/JamesPindell/status/689569046556184576,http://www.realclearpolitics.com/articles/2016/01/13/hillary_clintons_co"
OhioSenateGOP,Ohio,"https://twitter.com/cantonrepdotcom/status/692416822654701569,https://www.youtube.com/watch?v=p0YDbGeWksI,https://twitter.com/oscpa/status/691717277276884993,http://ow.ly/WTZFv,http://eepurl.com/bNwiVH,http://ow.ly/Xw2f4,http://www.lsc.ohio.gov/fellowship/,http://ow.ly/X3Hgd,http://ow.ly/Xy353,http://www.wkyc.com/story/news/local/lorain-county/2015/12/24/diabetes-law-changes/77893956/,http://www.ohiochannel.org/MediaLibrary/OhioChannelLive.aspx?liveStreamId=2,http://www.mansfieldnewsjournal.com/story/news/local/2016/01/07/spread-light-week-kicks-saturday/78431710/,http://ow.ly/XywEt,http://ow.ly/XhEFv,http://timesgazette.com/news/5069/parking-for-veterans,http://www.publicsafety.ohio.gov/video_challenge/index.html,https://twitter.com/ohiocpa/status/692024081374408705,http://ow.ly/XKXeh,https://twitter.com/ohiolife/status/692452586415374336,http://ow.ly/WXZr9,http://ow.ly/X4bwm,http://ow.ly/WuKBe,http://ow.ly/X7PLX,http://ohiosenate.gov/widener/press/widener-announces-plans-to-retire-after-more-than-two-decade"
PASenateGOP,Pennsylvania,"http://dlvr.it/DGvfw9,http://PASenateGOP.com,http://dlvr.it/KKyvqC,http://dlvr.it/DB53zN,http://dlvr.it/DBcZGn,http://dlvr.it/DKrkhd,http://goo.gl/P020jO,http://dlvr.it/DLTvL5,http://dlvr.it/DKvRCW,http://dlvr.it/DD0DSH,http://dlvr.it/KKyz63,http://senateaddress.pasen.gov,http://dlvr.it/DCyyYc,http://dlvr.it/DBbcTz"
